THREADS	TIME
1	0.045943
2	0.0467187
3	0.0279515
4	0.0229334
5	0.0378982
6	0.0322908
7	0.0276173
8	0.0280342
9	0.0269934
10	0.0328279
11	0.025317
12	0.0235492
13	0.0308828
14	0.033331
15	0.0338984
16	0.0269739
17	0.0382808
18	0.0279761
19	0.0301131
20	0.0338009
21	0.0289935
22	0.0332232
23	0.0304331
24	0.0266019
25	0.0360038
26	0.0355033
27	0.0256105
28	0.0329117
29	0.0319653
30	0.0323731
31	0.0298946
32	0.0327083
33	0.0354506
34	0.0329027
35	0.0307094
36	0.0365794
37	0.0308379
38	0.0404249
39	0.0373726
40	0.0397689
41	0.0419385
42	0.0308585
43	0.0351419
44	0.0343151
45	0.0374971
46	0.0354395
47	0.0431571
48	0.0459296
49	0.0406017
50	0.0423667
51	0.0404232
52	0.04946
53	0.0414073
54	0.040077
55	0.0424176
56	0.0413903
57	0.043907
58	0.0427193
59	0.043475
60	0.0582033
61	0.0329394
62	0.0339628
63	0.0384416
64	0.0475708
65	0.0323457
66	0.0419278
67	0.0404436
68	0.0403872
69	0.0378985
70	0.0366417
71	0.0403135
72	0.0448993
73	0.0598788
74	0.0612115
75	0.0582289
76	0.0548548
77	0.0623301
78	0.0489672
79	0.0531766
80	0.0499156
81	0.0480121
82	0.0541454
83	0.0467986
84	0.0498535
85	0.0665026
86	0.041183
87	0.0638957
88	0.0584165
89	0.041928
90	0.0406766
91	0.0496281
92	0.0536884
93	0.0547021
94	0.0495728
95	0.0539917
96	0.0709738
97	0.0626197
98	0.0788677
99	0.0687669
100	0.0665306
